country,continent,year,lifeExp,pop,gdpPercap
Angola,Africa,1991,50.7,10650000,2731.0
Angola,Africa,1992,50.7,11000000,2628.0
Angola,Africa,1993,49.6,11370000,1870.0
Angola,Africa,1994,50.5,11740000,1851.0
Angola,Africa,1995,50.9,12110000,1989.0
Angola,Africa,1996,51.0,12450000,2157.0
Angola,Africa,1997,51.2,12790000,2277.0
Angola,Africa,1998,51.6,13140000,2384.0
Angola,Africa,1999,51.9,13510000,2417.0
Angola,Africa,2000,52.6,13930000,2447.0
Angola,Africa,2001,53.0,14390000,2480.0
Angola,Africa,2002,53.8,14890000,2773.0
Angola,Africa,2003,54.5,15420000,2785.0
Angola,Africa,2004,55.2,15960000,3007.0
Angola,Africa,2005,56.0,16490000,3533.0
Angola,Africa,2006,56.9,17010000,4148.0
Angola,Africa,2007,57.6,17530000,4950.0
Angola,Africa,2008,58.3,18040000,5488.0
Angola,Africa,2009,58.9,18560000,5476.0
Angola,Africa,2010,59.4,19080000,5498.0
Angola,Africa,2011,59.7,19620000,5547.0
Angola,Africa,2012,60.1,20160000,5838.0
Angola,Africa,2013,60.4,20710000,6018.0
Antigua and Barbuda,Americas,1990,72.4,62200,11570.0
Antigua and Barbuda,Americas,1991,72.3,62750,11750.0
Antigua and Barbuda,Americas,1992,72.1,63800,11680.0
Antigua and Barbuda,Americas,1993,72.1,65240,12040.0
Antigua and Barbuda,Americas,1994,72.2,66900,12480.0
Antigua and Barbuda,Americas,1995,72.2,68640,11650.0
Antigua and Barbuda,Americas,1996,72.6,70450,12100.0
Antigua and Barbuda,Americas,1997,72.9,72320,12390.0
Antigua and Barbuda,Americas,1998,73.2,74190,12610.0
Antigua and Barbuda,Americas,1999,73.6,75980,12830.0
Antigua and Barbuda,Americas,2000,73.9,77660,12740.0
Antigua and Barbuda,Americas,2001,74.1,79160,12770.0
Antigua and Barbuda,Americas,2002,74.2,80510,12870.0
Antigua and Barbuda,Americas,2003,74.3,81720,13350.0
Antigua and Barbuda,Americas,2004,74.3,82840,14110.0
Antigua and Barbuda,Americas,2005,74.3,83920,14580.0
Antigua and Barbuda,Americas,2006,74.4,84950,16220.0
Antigua and Barbuda,Americas,2007,74.6,85940,17160.0
Antigua and Barbuda,Americas,2008,74.8,86880,17230.0
Antigua and Barbuda,Americas,2009,75.1,87800,15220.0
Antigua and Barbuda,Americas,2010,75.2,88710,13920.0
Antigua and Barbuda,Americas,2011,75.2,89610,13510.0
Antigua and Barbuda,Americas,2012,75.2,90510,13720.0
Antigua and Barbuda,Americas,2013,75.2,91400,13950.0
Argentina,Americas,1990,72.6,32640000,7847.0
Argentina,Americas,1991,72.7,33090000,8576.0
Argentina,Americas,1992,72.8,33540000,9308.0
Argentina,Americas,1993,73.1,33980000,9742.0
Argentina,Americas,1994,73.4,34420000,10210.0
Argentina,Americas,1995,73.5,34860000,9808.0
Argentina,Americas,1996,73.5,35290000,10250.0
Argentina,Americas,1997,73.6,35710000,10970.0
Argentina,Americas,1998,73.7,36130000,11270.0
Argentina,Americas,1999,74.0,36540000,10770.0
Argentina,Americas,2000,74.3,36930000,10570.0
Argentina,Americas,2001,74.4,37300000,9993.0
Argentina,Americas,2002,74.3,37660000,8798.0
Argentina,Americas,2003,74.5,38000000,9481.0
Argentina,Americas,2004,75.0,38340000,10230.0
Argentina,Americas,2005,75.4,38680000,11060.0
Argentina,Americas,2006,75.5,39020000,11870.0
Argentina,Americas,2007,75.4,39370000,12750.0
Argentina,Americas,2008,75.5,39710000,13460.0
Argentina,Americas,2009,75.6,40060000,13420.0
Argentina,Americas,2010,75.8,40410000,14490.0
Argentina,Americas,2011,75.9,40760000,15600.0
Argentina,Americas,2012,75.9,41120000,15710.0
Argentina,Americas,2013,76.0,41470000,15970.0
Armenia,Europe,1990,70.1,3545000,2809.0
Armenia,Europe,1991,69.8,3512000,2437.0
Armenia,Europe,1992,69.4,3450000,1443.0
Armenia,Europe,1993,69.2,3370000,1376.0
Armenia,Europe,1994,69.2,3291000,1499.0
Armenia,Europe,1995,69.4,3223000,1632.0
Armenia,Europe,1996,69.7,3172000,1732.0
Armenia,Europe,1997,70.1,3135000,1791.0
Armenia,Europe,1998,70.6,3109000,1928.0
Armenia,Europe,1999,71.0,3091000,1993.0
Armenia,Europe,2000,71.4,3076000,2114.0
Armenia,Europe,2001,71.7,3066000,2328.0
Armenia,Europe,2002,71.9,3061000,2692.0
Armenia,Europe,2003,72.1,3061000,3079.0
Armenia,Europe,2004,72.1,3063000,3414.0
Armenia,Europe,2005,72.2,3066000,3903.0
Armenia,Europe,2006,72.2,3070000,4413.0
Armenia,Europe,2007,72.3,3074000,5012.0
Armenia,Europe,2008,72.5,3079000,5347.0
Armenia,Europe,2009,72.6,3085000,4545.0
Armenia,Europe,2010,72.9,3092000,4599.0
Armenia,Europe,2011,73.2,3100000,4767.0
Armenia,Europe,2012,73.5,3109000,5059.0
Armenia,Europe,2013,73.8,3118000,5224.0
Australia,Asia,1990,77.0,17100000,23150.0
Australia,Asia,1991,77.4,17320000,22890.0
Australia,Asia,1992,77.7,17530000,23420.0
Australia,Asia,1993,78.0,17730000,24050.0
Australia,Asia,1994,78.2,17920000,24780.0
Australia,Asia,1995,78.4,18120000,25520.0
Australia,Asia,1996,78.6,18320000,26150.0
Australia,Asia,1997,78.9,18530000,27000.0
Australia,Asia,1998,79.1,18730000,28170.0
Australia,Asia,1999,79.3,18950000,28980.0
Australia,Asia,2000,79.7,19160000,29240.0
Australia,Asia,2001,80.1,19380000,30040.0
Australia,Asia,2002,80.4,19600000,30690.0
Australia,Asia,2003,80.7,19840000,31630.0
Australia,Asia,2004,81.0,20100000,32100.0
Australia,Asia,2005,81.2,20400000,32800.0
Australia,Asia,2006,81.4,20740000,33200.0
Australia,Asia,2007,81.5,21120000,34200.0
Australia,Asia,2008,81.5,21510000,34440.0
Australia,Asia,2009,81.6,21900000,34390.0
Australia,Asia,2010,81.7,22270000,34880.0
Australia,Asia,2011,81.8,22610000,35250.0
Australia,Asia,2012,81.8,22920000,36060.0
Australia,Asia,2013,81.8,23210000,36670.0
Austria,Europe,1990,75.7,7671000,26130.0
Austria,Europe,1991,75.8,7720000,26740.0
Austria,Europe,1992,76.0,7778000,27040.0
Austria,Europe,1993,76.2,7840000,26880.0
Austria,Europe,1994,76.5,7894000,27460.0
Austria,Europe,1995,76.8,7936000,27920.0
Austria,Europe,1996,77.2,7960000,28600.0
Austria,Europe,1997,77.6,7972000,29100.0
Austria,Europe,1998,77.8,7976000,30110.0
Austria,Europe,1999,78.0,7985000,31040.0
Austria,Europe,2000,78.2,8005000,32010.0
Austria,Europe,2001,78.4,8038000,32200.0
Austria,Europe,2002,78.7,8083000,32420.0
Austria,Europe,2003,79.0,8134000,32740.0
Austria,Europe,2004,79.3,8186000,33460.0
Austria,Europe,2005,79.6,8232000,34110.0
Austria,Europe,2006,80.0,8273000,35180.0
Austria,Europe,2007,80.2,8310000,36340.0
Austria,Europe,2008,80.4,8342000,36700.0
Austria,Europe,2009,80.4,8370000,35200.0
Austria,Europe,2010,80.5,8394000,35820.0
Austria,Europe,2011,80.7,8413000,36640.0
Austria,Europe,2012,80.7,8429000,36730.0
Austria,Europe,2013,80.8,8441000,36940.0
Azerbaijan,Europe,1990,66.1,7212000,4629.0
Azerbaijan,Europe,1991,65.9,7328000,4529.0
Azerbaijan,Europe,1992,65.1,7446000,3456.0
Azerbaijan,Europe,1993,65.1,7562000,2628.0
Azerbaijan,Europe,1994,65.1,7670000,2089.0
Azerbaijan,Europe,1995,65.6,7765000,1829.0
Azerbaijan,Europe,1996,66.1,7845000,1843.0
Azerbaijan,Europe,1997,66.5,7914000,1943.0
Azerbaijan,Europe,1998,67.0,7976000,2132.0
Azerbaijan,Europe,1999,67.5,8039000,2286.0
Azerbaijan,Europe,2000,68.0,8111000,2533.0
Azerbaijan,Europe,2001,68.5,8191000,2776.0
Azerbaijan,Europe,2002,68.9,8280000,3059.0
Azerbaijan,Europe,2003,69.1,8377000,3388.0
Azerbaijan,Europe,2004,69.3,8480000,3760.0
Azerbaijan,Europe,2005,69.5,8588000,4648.0
Azerbaijan,Europe,2006,69.9,8702000,6174.0
Azerbaijan,Europe,2007,70.3,8821000,7617.0
Azerbaijan,Europe,2008,70.6,8944000,8331.0
Azerbaijan,Europe,2009,71.0,9067000,8985.0
Azerbaijan,Europe,2010,71.4,9188000,9326.0
Azerbaijan,Europe,2011,71.7,9306000,9218.0
Azerbaijan,Europe,2012,72.0,9421000,9291.0
Azerbaijan,Europe,2013,72.3,9533000,9599.0
Bahamas,Americas,1990,68.6,256100,21910.0
Bahamas,Americas,1991,68.8,260800,20600.0
Bahamas,Americas,1992,68.9,265800,19430.0
Bahamas,Americas,1993,69.0,270700,19120.0
Bahamas,Americas,1994,69.0,275400,19350.0
Bahamas,Americas,1995,69.0,279800,19840.0
Bahamas,Americas,1996,69.2,283700,20330.0
Bahamas,Americas,1997,69.4,287200,20990.0
Bahamas,Americas,1998,69.6,290600,22070.0
Bahamas,Americas,1999,70.0,294000,22620.0
Bahamas,Americas,2000,70.3,297700,22730.0
Bahamas,Americas,2001,70.6,301600,22600.0
Bahamas,Americas,2002,70.8,305800,22810.0
Bahamas,Americas,2003,71.2,310200,22740.0
Bahamas,Americas,2004,71.9,314700,22750.0
Bahamas,Americas,2005,72.1,319400,23020.0
Bahamas,Americas,2006,72.1,324100,23310.0
Bahamas,Americas,2007,72.1,328900,23370.0
Bahamas,Americas,2008,72.2,333700,22560.0
Bahamas,Americas,2009,72.3,338400,21220.0
Bahamas,Americas,2010,72.4,342900,21020.0
Bahamas,Americas,2011,72.5,347200,21130.0
Bahamas,Americas,2012,72.6,351300,21420.0
Bahamas,Americas,2013,72.5,355200,21750.0
Bahrain,Asia,1990,71.4,492900,17860.0
Bahrain,Asia,1991,71.6,506700,18150.0
Bahrain,Asia,1992,71.8,519700,19040.0
Bahrain,Asia,1993,72.1,532400,20070.0
Bahrain,Asia,1994,72.4,545300,19500.0
Bahrain,Asia,1995,72.7,559100,19760.0
Bahrain,Asia,1996,72.9,574900,20100.0
Bahrain,Asia,1997,73.1,593000,20290.0
Bahrain,Asia,1998,73.2,611200,20830.0
Bahrain,Asia,1999,73.5,626800,21320.0
Bahrain,Asia,2000,73.6,638200,22020.0
Bahrain,Asia,2001,73.8,642500,22630.0
Bahrain,Asia,2002,74.1,642100,23400.0
Bahrain,Asia,2003,74.4,647200,24690.0
Bahrain,Asia,2004,74.8,671800,25660.0
Bahrain,Asia,2005,75.2,724800,27240.0
Bahrain,Asia,2006,75.7,811400,28480.0
Bahrain,Asia,2007,76.4,925700,30260.0
Bahrain,Asia,2008,77.1,1052000,31540.0
Bahrain,Asia,2009,77.7,1170000,24420.0
Bahrain,Asia,2010,78.2,1262000,24010.0
Bahrain,Asia,2011,78.4,1324000,24040.0
Bahrain,Asia,2012,78.9,1359000,24470.0
Bahrain,Asia,2013,79.0,1377000,24990.0
Bangladesh,Asia,1990,58.5,105300000,798.6
Bangladesh,Asia,1991,57.2,107800000,810.2
Bangladesh,Asia,1992,60.1,110200000,837.8
Bangladesh,Asia,1993,60.9,112600000,862.9
Bangladesh,Asia,1994,61.6,115100000,884.1
Bangladesh,Asia,1995,62.4,117500000,912.8
Bangladesh,Asia,1996,63.2,119900000,939.2
Bangladesh,Asia,1997,63.9,122400000,972.8
Bangladesh,Asia,1998,64.6,124800000,1005.0
Bangladesh,Asia,1999,65.2,127200000,1035.0
Bangladesh,Asia,2000,65.8,129600000,1075.0
Bangladesh,Asia,2001,66.3,131900000,1110.0
Bangladesh,Asia,2002,66.8,134300000,1136.0
Bangladesh,Asia,2003,67.2,136500000,1172.0
Bangladesh,Asia,2004,67.6,138600000,1221.0
Bangladesh,Asia,2005,67.9,140600000,1268.0
Bangladesh,Asia,2006,68.1,142400000,1334.0
Bangladesh,Asia,2007,68.1,144000000,1402.0
Bangladesh,Asia,2008,68.4,145500000,1470.0
Bangladesh,Asia,2009,68.5,147000000,1541.0
Bangladesh,Asia,2010,68.6,148700000,1621.0
Bangladesh,Asia,2011,68.9,150500000,1708.0
Bangladesh,Asia,2012,69.2,152400000,1793.0
Bangladesh,Asia,2013,69.5,154400000,1880.0
Barbados,Americas,1990,73.1,259500,13950.0
Barbados,Americas,1991,73.2,260400,13290.0
Barbados,Americas,1992,73.2,261100,12260.0
Barbados,Americas,1993,73.3,261900,12300.0
Barbados,Americas,1994,73.3,262600,12740.0
Barbados,Americas,1995,73.4,263400,13010.0
Barbados,Americas,1996,73.5,264200,13360.0
Barbados,Americas,1997,73.6,265100,13900.0
Barbados,Americas,1998,73.8,265900,14700.0
Barbados,Americas,1999,74.0,266800,14710.0
Barbados,Americas,2000,74.3,267500,14980.0
Barbados,Americas,2001,74.5,268200,14530.0
Barbados,Americas,2002,74.5,268800,14540.0
Barbados,Americas,2003,74.6,269400,14780.0
Barbados,Americas,2004,74.9,269900,15270.0
Barbados,Americas,2005,75.0,270500,15840.0
Barbados,Americas,2006,75.1,271100,16700.0
Barbados,Americas,2007,75.2,271600,16940.0
Barbados,Americas,2008,75.3,272200,16960.0
Barbados,Americas,2009,75.3,272800,16230.0
Barbados,Americas,2010,75.4,273300,16220.0
Barbados,Americas,2011,75.5,273900,16270.0
Barbados,Americas,2012,75.5,274500,16230.0
Barbados,Americas,2013,75.6,275100,16270.0
Belarus,Europe,1990,70.8,10260000,6808.0
Belarus,Europe,1991,70.3,10280000,6693.0
Belarus,Europe,1992,69.6,10300000,6014.0
Belarus,Europe,1993,69.0,10300000,5528.0
Belarus,Europe,1994,68.5,10290000,4869.0
Belarus,Europe,1995,68.2,10270000,4356.0
Belarus,Europe,1996,68.1,10240000,4475.0
Belarus,Europe,1997,68.1,10200000,4988.0
Belarus,Europe,1998,68.0,10160000,5412.0
Belarus,Europe,1999,68.1,10110000,5602.0
Belarus,Europe,2000,68.2,10060000,5936.0
Belarus,Europe,2001,68.1,10010000,6225.0
Belarus,Europe,2002,68.1,9963000,6546.0
Belarus,Europe,2003,68.2,9918000,7000.0
Belarus,Europe,2004,68.4,9872000,7807.0
Belarus,Europe,2005,68.8,9825000,8541.0
Belarus,Europe,2006,69.2,9777000,9431.0
Belarus,Europe,2007,69.8,9728000,10270.0
Belarus,Europe,2008,70.1,9681000,11530.0
Belarus,Europe,2009,70.2,9636000,11570.0
Belarus,Europe,2010,70.2,9595000,12490.0
Belarus,Europe,2011,70.1,9559000,13250.0
Belarus,Europe,2012,70.1,9527000,13520.0
Belarus,Europe,2013,70.2,9498000,13870.0
Belgium,Europe,1990,76.0,9949000,24930.0
Belgium,Europe,1991,76.2,9976000,25290.0
Belgium,Europe,1992,76.4,10000000,25580.0
Belgium,Europe,1993,76.5,10030000,25230.0
Belgium,Europe,1994,76.7,10060000,25950.0
Belgium,Europe,1995,76.9,10080000,26480.0
Belgium,Europe,1996,77.1,10100000,26730.0
Belgium,Europe,1997,77.3,10110000,27560.0
Belgium,Europe,1998,77.5,10130000,28030.0
Belgium,Europe,1999,77.6,10150000,28940.0
Belgium,Europe,2000,77.8,10180000,29940.0
Belgium,Europe,2001,78.0,10210000,30090.0
Belgium,Europe,2002,78.2,10250000,30490.0
Belgium,Europe,2003,78.5,10300000,30740.0
Belgium,Europe,2004,78.9,10360000,31600.0
Belgium,Europe,2005,79.2,10410000,32080.0
Belgium,Europe,2006,79.3,10470000,32730.0
Belgium,Europe,2007,79.4,10540000,33440.0
Belgium,Europe,2008,79.4,10600000,33510.0
Belgium,Europe,2009,79.6,10660000,32320.0
Belgium,Europe,2010,79.8,10710000,32830.0
Belgium,Europe,2011,80.0,10750000,32930.0
Belgium,Europe,2012,80.1,10790000,32590.0
Belgium,Europe,2013,80.2,10820000,32400.0
Belize,Americas,1990,72.1,190200,4871.0
Belize,Americas,1991,71.8,195900,5298.0
Belize,Americas,1992,71.7,201800,5781.0
Belize,Americas,1993,71.6,208000,5959.0
Belize,Americas,1994,71.5,214200,5806.0
Belize,Americas,1995,71.2,220300,5677.0
Belize,Americas,1996,70.7,226400,5633.0
Belize,Americas,1997,70.2,232400,5632.0
Belize,Americas,1998,69.6,238500,5632.0
Belize,Americas,1999,69.1,244500,5992.0
Belize,Americas,2000,69.0,250500,6545.0
Belize,Americas,2001,69.1,256600,6669.0
Belize,Americas,2002,69.4,262700,6800.0
Belize,Americas,2003,70.0,268800,7204.0
Belize,Americas,2004,70.4,274900,7301.0
Belize,Americas,2005,70.6,280900,7290.0
Belize,Americas,2006,70.8,287000,7455.0
Belize,Americas,2007,70.8,293100,7197.0
Belize,Americas,2008,70.7,299200,7297.0
Belize,Americas,2009,70.3,305400,7185.0
Belize,Americas,2010,70.1,311600,7271.0
Belize,Americas,2011,70.0,317900,7289.0
Belize,Americas,2012,70.0,324300,7550.0
Belize,Americas,2013,70.0,330700,7606.0
Benin,Africa,1990,57.1,4773000,1165.0
Benin,Africa,1991,57.5,4934000,1182.0
Benin,Africa,1992,57.9,5108000,1191.0
Benin,Africa,1993,58.2,5291000,1178.0
Benin,Africa,1994,58.4,5473000,1169.0
Benin,Africa,1995,58.5,5651000,1177.0
Benin,Africa,1996,58.6,5822000,1202.0
Benin,Africa,1997,58.7,5988000,1233.0
Benin,Africa,1998,58.8,6155000,1252.0
Benin,Africa,1999,59.0,6329000,1273.0
Benin,Africa,2000,59.2,6518000,1308.0
Benin,Africa,2001,59.4,6721000,1333.0
Benin,Africa,2002,59.8,6938000,1373.0
Benin,Africa,2003,60.3,7165000,1386.0
Benin,Africa,2004,60.9,7398000,1389.0
Benin,Africa,2005,61.4,7634000,1390.0
Benin,Africa,2006,62.1,7872000,1399.0
Benin,Africa,2007,62.7,8113000,1420.0
Benin,Africa,2008,63.2,8356000,1448.0
Benin,Africa,2009,63.6,8602000,1444.0
Benin,Africa,2010,64.0,8850000,1439.0
Benin,Africa,2011,64.3,9100000,1449.0
Benin,Africa,2012,64.6,9352000,1464.0
Benin,Africa,2013,64.9,9607000,1485.0
Bhutan,Asia,1990,59.3,558500,1782.0
Bhutan,Asia,1991,59.9,555700,1805.0
Bhutan,Asia,1992,60.5,546400,1904.0
Bhutan,Asia,1993,61.0,533900,1989.0
Bhutan,Asia,1994,61.4,523400,2149.0
Bhutan,Asia,1995,62.1,518600,2317.0
Bhutan,Asia,1996,62.7,520500,2456.0
Bhutan,Asia,1997,63.2,528200,2562.0
Bhutan,Asia,1998,63.7,540500,2656.0
Bhutan,Asia,1999,64.2,555400,2790.0
Bhutan,Asia,2000,63.9,571300,2922.0
Bhutan,Asia,2001,65.1,588000,3046.0
Bhutan,Asia,2002,65.5,606000,3256.0
Bhutan,Asia,2003,65.9,624400,3406.0
Bhutan,Asia,2004,66.3,642400,3546.0
Bhutan,Asia,2005,66.6,659300,3694.0
Bhutan,Asia,2006,66.9,674700,3857.0
Bhutan,Asia,2007,67.3,688600,4457.0
Bhutan,Asia,2008,67.6,701400,4580.0
Bhutan,Asia,2009,67.9,713700,4804.0
Bhutan,Asia,2010,68.3,725900,5274.0
Bhutan,Asia,2011,68.7,738300,5627.0
Bhutan,Asia,2012,69.0,750400,6131.0
Bhutan,Asia,2013,69.4,762300,6505.0
Bolivia,Americas,1990,62.6,6658000,2897.0
Bolivia,Americas,1991,63.1,6814000,2982.0
Bolivia,Americas,1992,63.6,6974000,2962.0
Bolivia,Americas,1993,64.1,7138000,3015.0
Bolivia,Americas,1994,64.5,7304000,3089.0
Bolivia,Americas,1995,65.0,7471000,3165.0
Bolivia,Americas,1996,65.4,7638000,3234.0
Bolivia,Americas,1997,65.9,7804000,3326.0
Bolivia,Americas,1998,66.4,7971000,3430.0
Bolivia,Americas,1999,67.0,8139000,3378.0
Bolivia,Americas,2000,67.6,8307000,3395.0
Bolivia,Americas,2001,68.2,8477000,3390.0
Bolivia,Americas,2002,68.7,8647000,3413.0
Bolivia,Americas,2003,69.2,8816000,3451.0
Bolivia,Americas,2004,69.7,8983000,3529.0
Bolivia,Americas,2005,70.0,9147000,3618.0
Bolivia,Americas,2006,70.3,9307000,3713.0
Bolivia,Americas,2007,70.6,9463000,3803.0
Bolivia,Americas,2008,70.9,9618000,3956.0
Bolivia,Americas,2009,71.1,9773000,4009.0
Bolivia,Americas,2010,71.3,9930000,4095.0
Bolivia,Americas,2011,71.5,10090000,4225.0
Bolivia,Americas,2012,71.7,10250000,4363.0
Bolivia,Americas,2013,71.9,10410000,4488.0
Bosnia and Herzegovina,Europe,1990,73.1,4308000,3845.0
Bosnia and Herzegovina,Europe,1991,72.7,4157000,3378.0
Bosnia and Herzegovina,Europe,1992,68.1,3931000,2547.0
Bosnia and Herzegovina,Europe,1993,68.2,3677000,1896.0
Bosnia and Herzegovina,Europe,1994,70.6,3462000,2034.0
Bosnia and Herzegovina,Europe,1995,67.1,3332000,2201.0
Bosnia and Herzegovina,Europe,1996,73.0,3306000,3488.0
Bosnia and Herzegovina,Europe,1997,73.7,3366000,4766.0
Bosnia and Herzegovina,Europe,1998,74.3,3480000,5251.0
Bosnia and Herzegovina,Europe,1999,74.8,3601000,5545.0
Bosnia and Herzegovina,Europe,2000,75.2,3694000,5733.0
Bosnia and Herzegovina,Europe,2001,75.6,3748000,5881.0
Bosnia and Herzegovina,Europe,2002,75.7,3776000,6019.0
Bosnia and Herzegovina,Europe,2003,75.8,3783000,6098.0
Bosnia and Herzegovina,Europe,2004,75.8,3781000,6317.0
Bosnia and Herzegovina,Europe,2005,75.7,3781000,6506.0
Bosnia and Herzegovina,Europe,2006,75.6,3782000,6893.0
Bosnia and Herzegovina,Europe,2007,75.6,3779000,7320.0
Bosnia and Herzegovina,Europe,2008,75.9,3774000,7740.0
Bosnia and Herzegovina,Europe,2009,76.2,3768000,7528.0
Bosnia and Herzegovina,Europe,2010,76.5,3760000,7596.0
Bosnia and Herzegovina,Europe,2011,77.0,3752000,7706.0
Bosnia and Herzegovina,Europe,2012,77.3,3744000,7664.0
Bosnia and Herzegovina,Europe,2013,77.5,3736000,7715.0
Botswana,Africa,1990,67.9,1382000,7829.0
Botswana,Africa,1991,67.6,1424000,7965.0
Botswana,Africa,1992,66.9,1465000,7954.0
Botswana,Africa,1993,65.8,1506000,7861.0
Botswana,Africa,1994,64.2,1546000,7898.0
Botswana,Africa,1995,62.3,1586000,8030.0
Botswana,Africa,1996,60.2,1624000,8282.0
Botswana,Africa,1997,57.9,1661000,8647.0
Botswana,Africa,1998,55.6,1696000,8991.0
Botswana,Africa,1999,53.5,1728000,9417.0
Botswana,Africa,2000,51.6,1758000,10110.0
Botswana,Africa,2001,50.2,1784000,10540.0
Botswana,Africa,2002,49.3,1808000,11000.0
Botswana,Africa,2003,49.4,1830000,11390.0
Botswana,Africa,2004,51.0,1852000,11720.0
Botswana,Africa,2005,54.3,1876000,12060.0
Botswana,Africa,2006,57.5,1901000,12570.0
Botswana,Africa,2007,60.1,1928000,13010.0
Botswana,Africa,2008,61.2,1955000,13240.0
Botswana,Africa,2009,62.6,1982000,12460.0
Botswana,Africa,2010,64.5,2007000,13180.0
